video_id,filename,niche,category,subcategory,micro_niche,full_path,confidence,matched_keywords,has_feature_data
DIguCUCtO1N,DIguCUCtO1N_goodieai_score0.8955.mp4,unknown,unknown,,,,0.0,,no
DK2OehgMToz,DK2OehgMToz_goodieai_score0.8948.mp4,unknown,unknown,,,,0.0,,no
DSUUdExkY74,DSUUdExkY74_guitarmanac_score0.9134.mp4,unknown,unknown,,,,0.0,,no
DP3JyLqifOE,DP3JyLqifOE_h7baan_score0.9056.mp4,unknown,unknown,,,,0.0,,no
DRHjIIOk0K-,DRHjIIOk0K-_h7shots_score0.8975.mp4,unknown,unknown,,,,0.0,,no
CpxtiXoLDqq,CpxtiXoLDqq_hardgoat.stickers_score0.8757.mp4,unknown,unknown,,,,0.0,,no
CuawTPCNrGI,CuawTPCNrGI_hardgoat.stickers_score0.8535.mp4,unknown,unknown,,,,0.0,,no
DSNnVGZCKJ0,DSNnVGZCKJ0_hatimsshorts_score0.9317.mp4,unknown,unknown,,,,0.0,,yes
DSYIcc9ih7l,DSYIcc9ih7l_homerdapp_score0.8995.mp4,unknown,unknown,,,,0.0,,no
DSjGFN2AfeK,DSjGFN2AfeK_hyunmristu_score0.8588.mp4,unknown,unknown,,,,0.0,,no
C_jhd4MvcpO,C_jhd4MvcpO_igreenscreenthings_score0.8687.mp4,unknown,unknown,,,,0.0,,no
DAM83lFJYxL,DAM83lFJYxL_infusiontechnologies.co_score0.8757.mp4,unknown,unknown,,,,0.0,,no
DDZC-RiMfi5_craftyart,DDZC-RiMfi5_craftyart_invitation_score0.9359.mp4,unknown,unknown,,,,0.0,,no
DQBsUcOkYMb_photobooth,DQBsUcOkYMb_photobooth_io_score0.9095.mp4,unknown,unknown,,,,0.0,,no
DOufAyoDxm9_ultrakey,DOufAyoDxm9_ultrakey_it_score0.8818.mp4,unknown,unknown,,,,0.0,,no
DMOzngkJE-S,DMOzngkJE-S_jacchalz_score0.8666.mp4,unknown,unknown,,,,0.0,,no
DOsFcbNjqje,DOsFcbNjqje_jacchalz_score0.8766.mp4,unknown,unknown,,,,0.0,,no
DSMzRugjD6b,DSMzRugjD6b_jamies.running_score0.8649.mp4,unknown,unknown,,,,0.0,,no
C2l_i5XP-Q1,C2l_i5XP-Q1_jordanmanali_score0.8907.mp4,unknown,unknown,,,,0.0,,no
DC_emCMRcuy,DC_emCMRcuy_jorwelsx_score0.8633.mp4,unknown,unknown,,,,0.0,,no
C0ZaorctNEi,C0ZaorctNEi_jry.media_score0.8938.mp4,unknown,unknown,,,,0.0,,no
DSAD5WVDWFZ,DSAD5WVDWFZ_justrealanna_score0.8950.mp4,unknown,unknown,,,,0.0,,no
DR4gdzCk-uN_seo,DR4gdzCk-uN_seo_kesh_score0.8753.mp4,unknown,unknown,,,,0.0,,no
DRt87JAE2Zt_seo,DRt87JAE2Zt_seo_kesh_score0.9166.mp4,unknown,unknown,,,,0.0,,no
DRwxvsgk64w_seo,DRwxvsgk64w_seo_kesh_score0.9513.mp4,unknown,unknown,,,,0.0,,no
DNvc2QLZn6a,DNvc2QLZn6a_kharaab.duniya_score0.8559.mp4,unknown,unknown,,,,0.0,,no
C22Ibx8uwfd_deeparth,C22Ibx8uwfd_deeparth_kitchen_score0.8881.mp4,unknown,unknown,,,,0.0,,no
C2r2ei1veEA_deeparth,C2r2ei1veEA_deeparth_kitchen_score0.8941.mp4,unknown,unknown,,,,0.0,,no
DPLbW43iHmi,DPLbW43iHmi_krisstinnii_score0.8635.mp4,unknown,unknown,,,,0.0,,no
DABfsuBxarX_for_engineering,DABfsuBxarX_for_engineering_leaders_score0.9341.mp4,unknown,unknown,,,,0.0,,no
DRhQyMFj6QI,DRhQyMFj6QI_lesslostmorefound_score0.8974.mp4,unknown,unknown,,,,0.0,,no
DP9d9s0DVJz,DP9d9s0DVJz_lifemoon.io_score0.9071.mp4,unknown,unknown,,,,0.0,,no
DRIQS1PDRjm,DRIQS1PDRjm_lifemoon.io_score0.8915.mp4,unknown,unknown,,,,0.0,,no
C-2fUcRoQaT,C-2fUcRoQaT_loopingreels_score0.9525.mp4,unknown,unknown,,,,0.0,,no
DB8MkP3CpQb,DB8MkP3CpQb_loopingreels_score0.9525.mp4,unknown,unknown,,,,0.0,,no
DG1_ecdIf7L,DG1_ecdIf7L_loopingreels_score0.9429.mp4,unknown,unknown,,,,0.0,,no
DHY8vjrsOf-,DHY8vjrsOf-_loopingreels_score0.9310.mp4,unknown,unknown,,,,0.0,,no
C9CvkaIsid-_work,C9CvkaIsid-_work_louder_score0.9592.mp4,unknown,unknown,,,,0.0,,no
DFuI9Hcu1G_,DFuI9Hcu1G__luminara.care_score0.8848.mp4,unknown,unknown,,,,0.0,,no
DKsWJafBms5,DKsWJafBms5_luminara.care_score0.9462.mp4,unknown,unknown,,,,0.0,,no
DDXoPJnz-9N,DDXoPJnz-9N_makeprogressai_score0.9269.mp4,unknown,unknown,,,,0.0,,no
DFC5OTksllw,DFC5OTksllw_matchess.io_score0.8755.mp4,unknown,unknown,,,,0.0,,no
DOKLLTrDgB3,DOKLLTrDgB3_mathsolver.top_score0.8588.mp4,unknown,unknown,,,,0.0,,no
DSjftrfjHNl,DSjftrfjHNl_mealark.app_score0.8997.mp4,unknown,unknown,,,,0.0,,no
DKxF5rTofJc,DKxF5rTofJc_measuretools_score0.8997.mp4,unknown,unknown,,,,0.0,,no
DLNDuc0sxDb,DLNDuc0sxDb_measuretools_score0.9314.mp4,unknown,unknown,,,,0.0,,no
DKxtwrMBXgm,DKxtwrMBXgm_meetedgar_score0.9687.mp4,unknown,unknown,,,,0.0,,no
DDa02F5Sbxr,DDa02F5Sbxr_messageswrapped_score0.8523.mp4,unknown,unknown,,,,0.0,,no
DSCwVxRkXev,DSCwVxRkXev_mjmehandiart_score0.8781.mp4,unknown,unknown,,,,0.0,,no
DGUWq5qp6ak,DGUWq5qp6ak_modernbrickhaus_score0.9537.mp4,unknown,unknown,,,,0.0,,no
DISeqOUy0l4,DISeqOUy0l4_modernbrickhaus_score0.9444.mp4,unknown,unknown,,,,0.0,,yes
DJTg-qthIZ-,DJTg-qthIZ-_monopolymccann_score0.9274.mp4,unknown,unknown,,,,0.0,,no
DKZaGP8TE_f,DKZaGP8TE_f_msmcoretechinnovations_score0.9082.mp4,unknown,unknown,,,,0.0,,no
DRKJCMCE1Kg,DRKJCMCE1Kg_msmcoretechinnovations_score0.9203.mp4,unknown,unknown,,,,0.0,,no
DRfmj6UjPpx,DRfmj6UjPpx_naohates_score0.8731.mp4,unknown,unknown,,,,0.0,,no
DRzjoHWCHaR,DRzjoHWCHaR_new3sc_score0.8723.mp4,unknown,unknown,,,,0.0,,no
DDkwYTmxv1D,DDkwYTmxv1D_newschoolboosted_score0.9824.mp4,unknown,unknown,,,,0.0,,no
DNRBZdCCUMZ_onf,DNRBZdCCUMZ_onf_nfb_score0.9018.mp4,unknown,unknown,,,,0.0,,yes
DQUOtjiisyt_onf,DQUOtjiisyt_onf_nfb_score0.8920.mp4,unknown,unknown,,,,0.0,,no
DPb93ZZEVWI,DPb93ZZEVWI_nicola.bleu_score0.8600.mp4,unknown,unknown,,,,0.0,,no
DRbUDOVjvGq,DRbUDOVjvGq_nipsapp_score0.9073.mp4,unknown,unknown,,,,0.0,,no
C_pwgUWo1Gh_memorio,C_pwgUWo1Gh_memorio_official_score0.9127.mp4,unknown,unknown,,,,0.0,,no
DNkITdzTMZf_shardee,DNkITdzTMZf_shardee_official_score0.9138.mp4,unknown,unknown,,,,0.0,,no
DSaQq82kRvX_enabot,DSaQq82kRvX_enabot_official_score0.9086.mp4,unknown,unknown,,,,0.0,,no
Cy6SrzVtQPC,Cy6SrzVtQPC_olifro.st_score0.8702.mp4,unknown,unknown,,,,0.0,,no
