Video Name,Thumbnail
DRwxvsgk64w_seo_kesh_score0.9513.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1vQy_gXfrPeZzzZJqJ7Gf0PWY5Z42jH-F"")"
DR4gdzCk-uN_seo_kesh_score0.8753.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=11Q0tMcGVFAku3EouQSdkMPgngL87lJcv"")"
DDj2tKyzkLl_sansoftwares_score0.9438.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1buEkD4DSVqEmfLy0GwPmtuDuKXTifFWi"")"
DOvhSncDit8_ryne.ai_score0.9604.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1IcN7t_utlQGOnIodcoCqzxM4NpjJYkhI"")"
DGxyLgfTCt4_sansoftwares_score0.9582.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=189f3lJ2NnE1wsS1Ls-RqWojV3QFysRlh"")"
DHMPtO_v_Ep_rundoyen_score0.9327.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1SLRDTlMFZDn22jbQtFzdkX9mOnDq4cJv"")"
DQ_yjpykbYD_v.i.s.h.ai_score0.8621.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=18tOlkd8S9deYIF3TRNgorT3DqMh3f-D6"")"
DGet4F1RHNX_rekruyt_score0.8616.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1GmwNp5nErUi1Dfv5w6jz0Qg8UTfez6Hd"")"
DMNxLl-xltY_camebbenracing_score0.8814.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=11WuvSbhGPikdn7Z3HSHEImCgOMrdxx7l"")"
DQ9PiMGCjnz_aapkkaannu_score0.8590.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1R_AAzdg1PWi2mrwtnL267KkJJKOs84S_"")"
DMEjw6_uOiH_readbean.app_score0.9154.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1mjmU9aSl7znPZ9mpnBVbUCQK7gpxhMt7"")"
DLi_BplphoL_readbean.app_score0.9428.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1nazQA0SJmd1H4KuRDLFdS3VaMS9qa6fe"")"
DGttPEnOJow_readbean.app_score0.9016.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1CZCM5XQjyll8wUmHPajdW4sc69mUhVWE"")"
DHrXsQfuJUN_readbean.app_score0.8909.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1bVhH1cUAIq_spVfunDTsIA5CKJEhPP5i"")"
DGyPqDMKcYK_reicapitalmgt_score0.8782.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=11znMJI9ZtXg-rHLeozUAdl6BufrY1BNi"")"
DOBohgpCAp5_reelsyncit_score0.8527.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1AAffZ8bfFcvbFUzqFpdEAd2oYk9kINwe"")"
DBNTbZ8PiL8_247comicshq_score0.8648.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1iM8E2eiKEvaOYGOaltQ7Wenjvzb14se8"")"
DSkrXZxjjod_recordbuilds_score0.8735.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1_lI8FkZ9bNyjmyLYhHtHo8bnhTP7_zBH"")"
DNJQiOZKRrG_propertyfindersofficial_score0.9086.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1XvEcTWIhb_go_srktfKY7xaPKGZrd6bt"")"
C9pXALHooQU_profilefinder.ai_score0.8835.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=14be5v92aY6LkjA8NgUCY5GcIHRL_IfIy"")"
DSjGFN2AfeK_hyunmristu_score0.8588.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=10Teq9yjR5-G6tI1D7GHfj2j9EDFuqwz8"")"
DSjRnczESNK_yongthefoodmonster_score0.8698.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1ElB2wVf27mAEwzywwMZRJwL3_i6dhJOU"")"
Cy3bg2du6Mu_pop.smoke.media_score0.9127.mp4,"=IMAGE(""https://drive.googleusercontent.com/uc?id=1snc3mjgVKVu6FrC3VsxsT2kB_4SpOnUl"")"
